message_id,action,message_type,reason,confidence,evidence_message_ids
msg_023,digest,business_update,Business promotions are opted out. Routed to digest.,0.72,none
msg_091,digest,personal,Legitimate update with no urgent or immediate action required.,0.5,message_0238;message_0381
msg_090,digest,personal,Legitimate update with no urgent or immediate action required.,0.5,none
msg_048,digest,scam,Potential scam or verification phishing alert detected.,0.5,message_0151;message_0152
msg_040,mute,forward,Group is explicitly muted by the recipient.,0.72,message_0136;message_0135
msg_075,digest,business_update,Business promotions are opted out. Routed to digest.,0.72,none
msg_005,notify,payment,Urgent conversation thread requires recipient attention.,0.68,message_0332;message_0114
msg_104,digest,personal,Legitimate update with no urgent or immediate action required.,0.5,message_0116;message_0115
msg_069,mute,forward,Group is explicitly muted by the recipient.,0.72,message_0247;message_0079
msg_107,digest,scam,Potential scam or verification phishing alert detected.,0.5,message_0045;message_0173
msg_070,digest,scam,Potential scam or verification phishing alert detected.,0.74,message_0045;message_0173
msg_003,digest,business_update,Business promotions are opted out. Routed to digest.,0.72,none
msg_099,digest,personal,Legitimate update with no urgent or immediate action required.,0.5,message_0117;message_0249
msg_008,digest,urgent,Legitimate update with no urgent or immediate action required.,0.74,none
msg_092,digest,business_update,Legitimate update with no urgent or immediate action required.,0.5,none
msg_060,digest,promotion,Legitimate update with no urgent or immediate action required.,0.5,message_0176;message_0375
msg_004,digest,business_update,Business promotions are opted out. Routed to digest.,0.72,none
msg_030,mute,payment,Group is explicitly muted by the recipient.,0.75,message_0116;message_0115
msg_045,digest,personal,Legitimate update with no urgent or immediate action required.,0.5,message_0146;message_0145
msg_052,mute,promotion,Unverified sender domain mismatch indicates high spam risk.,0.75,none
msg_009,mute,personal,Group is explicitly muted by the recipient.,0.75,message_0073;message_0074
msg_071,digest,personal,Legitimate update with no urgent or immediate action required.,0.5,message_0197;message_0198
msg_016,digest,scam,Potential scam or verification phishing alert detected.,0.74,message_0024;message_0183
msg_065,notify,promotion,Urgent conversation thread requires recipient attention.,0.7,none
msg_038,mute,urgent,Mass forwarded message content exceeds safety limits.,0.72,message_0131;message_0132
msg_086,mute,business_update,Unverified sender domain mismatch indicates high spam risk.,0.75,none
msg_014,digest,payment,Business promotions are opted out. Routed to digest.,0.72,none
msg_094,digest,promotion,Legitimate update with no urgent or immediate action required.,0.5,none
